date,xndx_close,xndx_ret,tqqq_close,vxn,rv252,base_alloc,risk_on_override,circuit_cash,target_alloc_tqqq,action,cash_value,tqqq_value,equity
1985-02-04,126.2200,+0.000000,0.6021,,0.0000,1.0000,0,0,1.0000,TRADE,0.00,1000000.00,1000000.00
1985-02-05,126.7600,+0.004278,0.6094,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,1012065.97,1012065.97
1985-02-06,127.1600,+0.003156,0.6147,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,1020868.63,1020868.63
1985-02-07,128.5600,+0.011010,0.6345,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,1053801.89,1053801.89
1985-02-08,128.6500,+0.000700,0.6353,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,1055204.23,1055204.23
1985-02-11,127.8000,-0.006607,0.6223,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,1033476.16,1033476.16
1985-02-12,126.9700,-0.006495,0.6097,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,1012544.21,1012544.21
1985-02-13,127.8800,+0.007167,0.6223,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,1033534.83,1033534.83
1985-02-14,127.0100,-0.006803,0.6091,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,1011643.98,1011643.98
1985-02-15,126.0200,-0.007795,0.5944,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,987207.70,987207.70
1985-02-19,125.0900,-0.007380,0.5808,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,964589.50,964589.50
1985-02-20,125.4800,+0.003118,0.5858,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,972866.74,972866.74
1985-02-21,125.2500,-0.001833,0.5821,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,966765.63,966765.63
1985-02-22,124.9500,-0.002395,0.5775,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,959071.87,959071.87
1985-02-25,123.5900,-0.010884,0.5582,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,927013.58,927013.58
1985-02-26,124.6900,+0.008900,0.5726,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,951048.88,951048.88
1985-02-27,123.5600,-0.009062,0.5566,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,924456.43,924456.43
1985-02-28,123.5200,-0.000324,0.5556,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,922843.10,922843.10
1985-03-01,124.8400,+0.010687,0.5730,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,951714.60,951714.60
1985-03-04,125.1100,+0.002163,0.5763,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,957155.06,957155.06
1985-03-05,124.6000,-0.004076,0.5688,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,944711.78,944711.78
1985-03-06,122.5000,-0.016854,0.5396,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,896217.80,896217.80
1985-03-07,120.6100,-0.015429,0.5142,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,854046.13,854046.13
1985-03-08,119.7900,-0.006799,0.5033,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,835970.27,835970.27
1985-03-11,119.2200,-0.004758,0.4958,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,823396.23,823396.23
1985-03-12,119.7200,+0.004194,0.5016,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,833125.73,833125.73
1985-03-13,116.7300,-0.024975,0.4637,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,770066.86,770066.86
1985-03-14,115.9800,-0.006425,0.4544,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,754635.38,754635.38
1985-03-15,116.6100,+0.005432,0.4614,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,766356.99,766356.99
1985-03-18,116.6100,+0.000000,0.4611,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,765774.02,765774.02
1985-03-19,117.8400,+0.010548,0.4753,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,789424.20,789424.20
1985-03-20,117.6300,-0.001782,0.4724,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,784604.48,784604.48
1985-03-21,117.6700,+0.000340,0.4725,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,784809.90,784809.90
1985-03-22,117.3100,-0.003059,0.4678,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,777012.22,777012.22
1985-03-25,115.0200,-0.019521,0.4401,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,730921.46,730921.46
1985-03-26,115.2500,+0.002000,0.4424,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,734754.84,734754.84
1985-03-27,116.3800,+0.009805,0.4551,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,755813.46,755813.46
1985-03-28,116.3900,+0.000086,0.4549,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,755439.34,755439.34
1985-03-29,117.3600,+0.008334,0.4659,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,773758.86,773758.86
1985-04-01,118.7200,+0.011588,0.4817,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,800078.44,800078.44
1985-04-02,117.9600,-0.006402,0.4721,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,784113.95,784113.95
1985-04-03,116.1900,-0.015005,0.4505,,0.0000,1.0000,0,0,1.0000,HOLD,0.00,748230.33,748230.33
1985-04-04,115.9700,-0.001893,0.4476,,0.0000,0.5000,0,0,0.5000,TRADE,371710.51,371710.51,743421.02
1985-04-08,115.1400,-0.007157,0.4377,,0.0000,0.5000,0,0,0.5000,HOLD,372034.33,363452.92,735487.25
1985-04-09,115.3300,+0.001650,0.4395,,0.0000,0.5000,0,0,0.5000,HOLD,372115.32,364982.05,737097.38
1985-04-10,117.1100,+0.015434,0.4595,,0.0000,0.5000,0,0,0.5000,HOLD,372196.34,381610.44,753806.78
1985-04-11,117.2500,+0.001195,0.4608,,0.0000,0.5000,0,0,0.5000,HOLD,372277.37,382696.01,754973.38
1985-04-12,117.5000,+0.002132,0.4635,,0.0000,0.5000,0,0,0.5000,HOLD,372358.42,384860.42,757218.85
1985-04-15,117.7400,+0.002043,0.4660,,0.0000,0.5000,0,0,0.5000,HOLD,372601.68,386934.50,759536.19
1985-04-16,118.2400,+0.004247,0.4715,,0.0000,0.5000,0,0,0.5000,HOLD,372682.81,391578.58,764261.39
1985-04-17,118.8400,+0.005074,0.4784,,0.0000,0.5000,0,0,0.5000,HOLD,372763.94,397251.13,770015.08
1985-04-18,118.3300,-0.004291,0.4719,,0.0000,0.5000,0,0,0.5000,HOLD,372845.10,391844.32,764689.42
1985-04-19,118.0200,-0.002620,0.4678,,0.0000,0.5000,0,0,0.5000,HOLD,372926.28,388476.54,761402.82
1985-04-22,117.0000,-0.008643,0.4553,,0.0000,0.5000,0,0,0.5000,HOLD,373169.91,378119.47,751289.37
1985-04-23,117.6600,+0.005641,0.4627,,0.0000,0.5000,0,0,0.5000,HOLD,373251.15,384241.57,757492.72
1985-04-24,117.6400,-0.000170,0.4621,,0.0000,0.5000,0,0,0.5000,HOLD,373332.41,383764.62,757097.03
1985-04-25,118.1600,+0.004420,0.4679,,0.0000,0.5000,0,0,0.5000,HOLD,373413.69,388573.28,761986.97
1985-04-26,117.8400,-0.002708,0.4638,,0.0000,0.5000,0,0,0.5000,HOLD,373494.99,385132.72,758627.71
1985-04-29,116.2300,-0.013663,0.4444,,0.0000,0.5000,0,0,0.5000,HOLD,373738.99,369066.85,742805.84
1985-04-30,115.3800,-0.007313,0.4344,,0.0000,0.5000,0,0,0.5000,HOLD,373820.36,360701.63,734522.00
1985-05-01,114.8300,-0.004767,0.4278,,0.0000,0.5000,0,0,0.5000,HOLD,373901.75,355281.60,729183.35
1985-05-02,114.3600,-0.004093,0.4223,,0.0000,0.5000,0,0,0.5000,HOLD,373980.31,350661.63,724641.94
1985-05-03,115.2900,+0.008132,0.4323,,0.0000,0.5000,0,0,0.5000,HOLD,374058.89,358962.88,733021.77
1985-05-06,114.4500,-0.007286,0.4225,,0.0000,0.4000,0,0,0.4000,TRADE,435091.74,290061.16,725152.91
1985-05-07,114.9700,+0.004543,0.4280,,0.0000,0.4000,0,0,0.4000,HOLD,435183.16,293806.25,728989.41
1985-05-08,115.0800,+0.000957,0.4289,,0.0000,0.4000,0,0,0.4000,HOLD,435274.60,294438.64,729713.24
1985-05-09,116.5400,+0.012687,0.4449,,0.0000,0.4000,0,0,0.4000,HOLD,435366.06,305434.07,740800.13
1985-05-10,119.7500,+0.027544,0.4813,,0.0000,1.0000,0,0,1.0000,TRADE,0.00,765911.82,765911.82
